Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
TC1000000105686;YY1000005086399;3500123257;20;143;10;24355772;;FELVAR;671431024355772
TC1000000105686;YY1000004970451;3500123257;20;143;12;25374177;;FELVAR;671431225374177
TC1000000105686;YY1000004919741;3500123257;20;143;12;25374878;;FELVAR;671431225374878
TC1000000105686;YY1000004942391;3500123257;20;143;6;22346356;;FELVAR;M11430622346356
TC1000000105686;YY1000004942392;3500123257;20;143;6;22078131;;FELVAR;M11430622078131
TC1000000105686;YY1000005097883;3500123257;20;143;10;24404696;;FELVAR;M11431024404696
TC1000000105686;YY1000004946639;3500123257;20;143;8;23028497;;FELVAR;M11430823028497
TC1000000105686;YY1000004336030;3500123257;20;143;20;91280727;;FELVAR;801432091280727
TC1000000105686;YY1000005218090;3500123257;20;143;7;22744866;;FELVAR;M11430722744866
TC1000000105686;YY1000004907654;3500123257;20;143;7;22692782;;FELVAR;M11430722692782
TC1000000105686;YY1000003824364;3500123257;20;143;8;23031934;;FELVAR;M11430823031934
TC1000000105686;YY1000005097462;3500123257;20;143;8;23141257;;FELVAR;M11430823141257
TC1000000105686;YY1000005097873;3500123257;20;143;9;23706770;;FELVAR;M11430923706770
TC1000000105686;YY1000005086139;3500123257;20;143;9;23618103;;FELVAR;M11430923618103
TC1000000105686;YY1000005127759;3500123257;20;143;9;23977406;;FELVAR;M11430923977406
TC1000000105686;YY1000005091527;3500123257;20;143;15;27120129;;FELVAR;801431527120129
TC1000000105686;YY1000004062735;3500123257;20;143;15;27057259;;FELVAR;801431527057259
TC1000000105686;YY1000005091632;3500123257;20;143;6;22037299;;FELVAR;M11430622037299
TC1000000105686;YY1000004933639;3500123257;20;143;16;27264851;;FELVAR;M11431627264851
TC1000000105686;YY1000005095293;3500123257;20;143;7;22608413;;FELVAR;M11430722608413
TC1000000105686;YY1000005097884;3500123257;20;143;9;23720149;;FELVAR;M11430923720149
TC1000000105686;YY1000005097886;3500123257;20;143;9;23766311;;FELVAR;M11430923766311
TC1000000105686;YY1000004955481;3500123257;20;143;6;22037188;;FELVAR;M11430622037188
TC1000000105686;YY1000005127755;3500123257;20;143;8;23079666;;FELVAR;M11430823079666
TC1000000105686;YY1000005209203;3500123257;20;143;8;23365811;;FELVAR;M11430823365811
TC1000000105686;YY1000005171337;3500123257;20;143;8;23514617;;FELVAR;M11430823514617
TC1000000105686;YY1000005097888;3500123257;20;143;6;22237677;;FELVAR;M11430622237677
TC1000000105686;YY1000004062726;3500123257;20;143;7;22611341;;FELVAR;M11430722611341
TC1000000105686;YY1000004712650;3500123257;20;143;7;23014198;;FELVAR;M11430723014198
TC1000000105686;YY1000005097887;3500123257;20;143;8;23106603;;FELVAR;M11430823106603
TC1000000105686;YY1000005097461;3500123257;20;143;8;23167873;;FELVAR;M11430823167873
TC1000000105686;YY1000005097885;3500123257;20;143;8;24004921;;FELVAR;M11430824004921
TC1000000105686;YY1000005218094;3500123257;20;143;7;23012791;;FELVAR;M11430723012791
TC1000000105686;YY1000005087486;3500123257;20;143;9;23881688;;FELVAR;M11430923881688
TC1000000105686;YY1000005209220;3500123257;20;143;9;24058684;;FELVAR;M11430924058684
