gysz rövid;rendelésszám;Futó vonalkód sorszáma;Gyártási szám;Anyag;GYÉv;0
01234567;4570000466;99900001539239;16100001234567;G00018;2008;0
00601090;4570000466;99900001538504;44600000601090;G00064;2008;0
00607893;4570000466;99900001837246;44600000607893;G00064;2008;0
00608485;4570000466;99900001600862;44600000608485;G00064;2008;0
00610700;4570000466;99900001580774;44600000610700;G00064;2008;0
00612456;4570000466;99900001556570;44600000612456;G00064;2008;0
00613276;4570000466;99900001563569;44600000613276;G00064;2008;0
00615954;4570000466;99900001581231;44600000615954;G00064;2008;0
00619116;4570000466;99900001598126;44600000619116;G00064;2008;0
00619668;4570000466;99900001598125;44600000619668;G00064;2008;0
00619944;4570000466;99900001535455;44600000619944;G00064;2008;0
00731838;4570000466;99900001540700;44600000731838;G00064;2009;0
00736495;4570000466;99900001534180;44600000736495;G00064;2009;0
00736917;4570000466;99900001580199;44600000736917;G00064;2009;0
00741794;4570000466;99900000909631;44600000741794;G00064;2009;0
00742691;4570000466;99900001529874;44600000742691;G00064;2009;0
00751636;4570000466;99900001425901;44600000751636;G00064;2009;0
00753226;4570000466;99900001534171;44600000753226;G00064;2009;0
00754660;4570000466;99900001427087;44600000754660;G00064;2009;0
00754964;4570000466;99900001580275;44600000754964;G00064;2009;0
00754953;4570000466;99900001534172;44600000754953;G00064;2009;0
23999262;4570000466;99900001528915;16100023999262;G00018;2009;0
23999173;4570000466;99900001538500;16100023999173;G00018;2009;0
00757708;4570000466;99900001534175;44600000757708;G00064;2009;0
76543210;4570000466;99900001580202;44600076543210;G00064;2009;0
00762417;4570000466;99900001538527;44600000762417;G00064;2009;0
00763966;4570000466;99900001589621;44600000763966;G00064;2009;0
00763802;4570000466;99900001837207;44600000763802;G00064;2009;0
00765971;4570000466;99900001532884;44600000765971;G00064;2009;0
00766693;4570000466;99900000909626;44600000766693;G00064;2009;0
00769082;4570000466;99900001534169;44600000769082;G00064;2009;0
00789160;4570000466;99900001532871;44600000789160;G00064;2010;0
00789949;4570000466;99900001528978;44600000789949;G00064;2010;0
00789411;4570000466;99900001593756;44600000789411;G00064;2010;0
00790626;4570000466;99900001600855;44600000790626;G00064;2010;0
