gysz;Megrendelésszám;Gyáriszám;Megnevezés ;Cikkszám;GYÉv;;
00700502;4570000557;600700502;G4_FLOG_RF1_MEMB_05;G00018;2006;000700502;0000700502
00700505;4570000557;600700505;G4_FLOG_RF1_MEMB_05;G00018;2006;000700505;0000700505
00701448;4570000557;600701448;G4_FLOG_RF1_MEMB_05;G00018;2006;000701448;0000701448
00701398;4570000557;600701398;G4_FLOG_RF1_MEMB_05;G00018;2006;000701398;0000701398
00701563;4570000557;600701563;G4_FLOG_RF1_MEMB_05;G00018;2006;000701563;0000701563
00703268;4570000557;600703268;G4_FLOG_RF1_MEMB_05;G00018;2006;000703268;0000703268
00703854;4570000557;600703854;G4_FLOG_RF1_MEMB_05;G00018;2006;000703854;0000703854
00704245;4570000557;600704245;G4_FLOG_RF1_MEMB_05;G00018;2006;000704245;0000704245
00703994;4570000557;600703994;G4_FLOG_RF1_MEMB_05;G00018;2006;000703994;0000703994
00704698;4570000557;600704698;G4_FLOG_RF1_MEMB_05;G00018;2006;000704698;0000704698
00706550;4570000557;600706550;G4_FLOG_RF1_MEMB_05;G00018;2006;000706550;0000706550
00707729;4570000557;600707729;G4_FLOG_RF1_MEMB_05;G00018;2006;000707729;0000707729
00706376;4570000557;600706376;G4_FLOG_RF1_MEMB_05;G00018;2006;000706376;0000706376
00710567;4570000557;700710567;G4_FLOG_RF1_MEMB_05;G00018;2007;000710567;0000710567
00712343;4570000557;700712343;G4_FLOG_RF1_MEMB_05;G00018;2007;000712343;0000712343
00712418;4570000557;700712418;G4_FLOG_RF1_MEMB_05;G00018;2007;000712418;0000712418
00712615;4570000557;700712615;G4_FLOG_RF1_MEMB_05;G00018;2007;000712615;0000712615
00712668;4570000557;700712668;G4_FLOG_RF1_MEMB_05;G00018;2007;000712668;0000712668
00712947;4570000557;700712947;G4_FLOG_RF1_MEMB_05;G00018;2007;000712947;0000712947
00714953;4570000557;700714953;G4_FLOG_RF1_MEMB_05;G00018;2007;000714953;0000714953
00714489;4570000557;700714489;G4_FLOG_RF1_MEMB_05;G00018;2007;000714489;0000714489
00715241;4570000557;700715241;G4_FLOG_RF1_MEMB_05;G00018;2007;000715241;0000715241
00715659;4570000557;700715659;G4_FLOG_RF1_MEMB_05;G00018;2007;000715659;0000715659
00716557;4570000557;700716557;G4_FLOG_RF1_MEMB_05;G00018;2007;000716557;0000716557
00719449;4570000557;700719449;G4_FLOG_RF1_MEMB_05;G00018;2007;000719449;0000719449
00719520;4570000557;700719520;G4_FLOG_RF1_MEMB_05;G00018;2007;000719520;0000719520
