gysz;Megrendelésszám;Gyáriszám;Megnevezés ;Cikkszám;GYÉv
700502;4570000557;600700502;G4_FLOG_RF1_MEMB_05;G00018;2006
700505;4570000557;600700505;G4_FLOG_RF1_MEMB_05;G00018;2006
701448;4570000557;600701448;G4_FLOG_RF1_MEMB_05;G00018;2006
701398;4570000557;600701398;G4_FLOG_RF1_MEMB_05;G00018;2006
701563;4570000557;600701563;G4_FLOG_RF1_MEMB_05;G00018;2006
703268;4570000557;600703268;G4_FLOG_RF1_MEMB_05;G00018;2006
703854;4570000557;600703854;G4_FLOG_RF1_MEMB_05;G00018;2006
704245;4570000557;600704245;G4_FLOG_RF1_MEMB_05;G00018;2006
703994;4570000557;600703994;G4_FLOG_RF1_MEMB_05;G00018;2006
704698;4570000557;600704698;G4_FLOG_RF1_MEMB_05;G00018;2006
706550;4570000557;600706550;G4_FLOG_RF1_MEMB_05;G00018;2006
707729;4570000557;600707729;G4_FLOG_RF1_MEMB_05;G00018;2006
706376;4570000557;600706376;G4_FLOG_RF1_MEMB_05;G00018;2006
710567;4570000557;700710567;G4_FLOG_RF1_MEMB_05;G00018;2007
712343;4570000557;700712343;G4_FLOG_RF1_MEMB_05;G00018;2007
712418;4570000557;700712418;G4_FLOG_RF1_MEMB_05;G00018;2007
712615;4570000557;700712615;G4_FLOG_RF1_MEMB_05;G00018;2007
712668;4570000557;700712668;G4_FLOG_RF1_MEMB_05;G00018;2007
712947;4570000557;700712947;G4_FLOG_RF1_MEMB_05;G00018;2007
714953;4570000557;700714953;G4_FLOG_RF1_MEMB_05;G00018;2007
714489;4570000557;700714489;G4_FLOG_RF1_MEMB_05;G00018;2007
715241;4570000557;700715241;G4_FLOG_RF1_MEMB_05;G00018;2007
715659;4570000557;700715659;G4_FLOG_RF1_MEMB_05;G00018;2007
716557;4570000557;700716557;G4_FLOG_RF1_MEMB_05;G00018;2007
719449;4570000557;700719449;G4_FLOG_RF1_MEMB_05;G00018;2007
719520;4570000557;700719520;G4_FLOG_RF1_MEMB_05;G00018;2007
720118;4570000557;700720118;G4_FLOG_RF1_MEMB_05;G00018;2007
720276;4570000557;700720276;G4_FLOG_RF1_MEMB_05;G00018;2007
720493;4570000557;800720493;G4_FLOG_RF1_MEMB_05;G00018;2008
720511;4570000557;800720511;G4_FLOG_RF1_MEMB_05;G00018;2008
721281;4570000557;800721281;G4_FLOG_RF1_MEMB_05;G00018;2008
722409;4570000557;800722409;G4_FLOG_RF1_MEMB_05;G00018;2008
722522;4570000557;800722522;G4_FLOG_RF1_MEMB_05;G00018;2008
722920;4570000557;800722920;G4_FLOG_RF1_MEMB_05;G00018;2008
723389;4570000557;800723389;G4_FLOG_RF1_MEMB_05;G00018;2008
723501;4570000557;800723501;G4_FLOG_RF1_MEMB_05;G00018;2008
723637;4570000557;800723637;G4_FLOG_RF1_MEMB_05;G00018;2008
725036;4570000557;800725036;G4_FLOG_RF1_MEMB_05;G00018;2008
725502;4570000557;800725502;G4_FLOG_RF1_MEMB_05;G00018;2008
725569;4570000557;800725569;G4_FLOG_RF1_MEMB_05;G00018;2008
728729;4570000557;800728729;G4_FLOG_RF1_MEMB_05;G00018;2008
730386;4570000557;900730386;G4_FLOG_RF1_MEMB_05;G00018;2009
730489;4570000557;900730489;G4_FLOG_RF1_MEMB_05;G00018;2009
733345;4570000557;900733345;G4_FLOG_RF1_MEMB_05;G00018;2009
734015;4570000557;900734015;G4_FLOG_RF1_MEMB_05;G00018;2009
734257;4570000557;900734257;G4_FLOG_RF1_MEMB_05;G00018;2009
734464;4570000557;900734464;G4_FLOG_RF1_MEMB_05;G00018;2009
737200;4570000557;900737200;G4_FLOG_RF1_MEMB_05;G00018;2009
737256;4570000557;900737256;G4_FLOG_RF1_MEMB_05;G00018;2009
737350;4570000557;900737350;G4_FLOG_RF1_MEMB_05;G00018;2009
737470;4570000557;900737470;G4_FLOG_RF1_MEMB_05;G00018;2009
737713;4570000557;900737713;G4_FLOG_RF1_MEMB_05;G00018;2009
738258;4570000557;900738258;G4_FLOG_RF1_MEMB_05;G00018;2009
738988;4570000557;900738988;G4_FLOG_RF1_MEMB_05;G00018;2009
739496;4570000557;900739496;G4_FLOG_RF1_MEMB_05;G00018;2009
740003;4570000557;900740003;G4_FLOG_RF1_MEMB_05;G00018;2009
740031;4570000557;900740031;G4_FLOG_RF1_MEMB_05;G00018;2009
740170;4570000557;900740170;G4_FLOG_RF1_MEMB_05;G00018;2009
740484;4570000557;900740484;G4_FLOG_RF1_MEMB_05;G00018;2009
744131;4570000557;900744131;G4_FLOG_RF1_MEMB_05;G00018;2009
744796;4570000557;900744796;G4_FLOG_RF1_MEMB_05;G00018;2009
745240;4570000557;900745240;G4_FLOG_RF1_MEMB_05;G00018;2009
745283;4570000557;900745283;G4_FLOG_RF1_MEMB_05;G00018;2009
745978;4570000557;900745978;G4_FLOG_RF1_MEMB_05;G00018;2009
746000;4570000557;900746000;G4_FLOG_RF1_MEMB_05;G00018;2009
746907;4570000557;900746907;G4_FLOG_RF1_MEMB_05;G00018;2009
747727;4570000557;900747727;G4_FLOG_RF1_MEMB_05;G00018;2009
747878;4570000557;900747878;G4_FLOG_RF1_MEMB_05;G00018;2009
748898;4570000557;900748898;G4_FLOG_RF1_MEMB_05;G00018;2009
749355;4570000557;900749355;G4_FLOG_RF1_MEMB_05;G00018;2009
750056;4570000557;900750056;G4_FLOG_RF1_MEMB_05;G00018;2009
750086;4570000557;900750086;G4_FLOG_RF1_MEMB_05;G00018;2009
750230;4570000557;900750230;G4_FLOG_RF1_MEMB_05;G00018;2009
750890;4570000557;900750890;G4_FLOG_RF1_MEMB_05;G00018;2009
750550;4570000557;900750550;G4_FLOG_RF1_MEMB_05;G00018;2009
750979;4570000557;900750979;G4_FLOG_RF1_MEMB_05;G00018;2009
751009;4570000557;900751009;G4_FLOG_RF1_MEMB_05;G00018;2009
751066;4570000557;900751066;G4_FLOG_RF1_MEMB_05;G00018;2009
752522;4570000557;900752522;G4_FLOG_RF1_MEMB_05;G00018;2009
753385;4570000557;900753385;G4_FLOG_RF1_MEMB_05;G00018;2009
774274;4570000557;1000774274;G4_FLOG_RF1_MEMB_05;G00018;2010
775156;4570000557;1000775156;G4_FLOG_RF1_MEMB_05;G00018;2010
775319;4570000557;1000775319;G4_FLOG_RF1_MEMB_05;G00018;2010
779134;4570000557;1000779134;G4_FLOG_RF1_MEMB_05;G00018;2010
779213;4570000557;1000779213;G4_FLOG_RF1_MEMB_05;G00018;2010
779712;4570000557;1000779712;G4_FLOG_RF1_MEMB_05;G00018;2010
780107;4570000557;1000780107;G4_FLOG_RF1_MEMB_05;G00018;2010
780589;4570000557;1000780589;G4_FLOG_RF1_MEMB_05;G00018;2010
780697;4570000557;1000780697;G4_FLOG_RF1_MEMB_05;G00018;2010
781131;4570000557;1000781131;G4_FLOG_RF1_MEMB_05;G00018;2010
781178;4570000557;1000781178;G4_FLOG_RF1_MEMB_05;G00018;2010
781305;4570000557;1000781305;G4_FLOG_RF1_MEMB_05;G00018;2010
781354;4570000557;1000781354;G4_FLOG_RF1_MEMB_05;G00018;2010
782633;4570000557;1000782633;G4_FLOG_RF1_MEMB_05;G00018;2010
782899;4570000557;1000782899;G4_FLOG_RF1_MEMB_05;G00018;2010
783279;4570000557;1000783279;G4_FLOG_RF1_MEMB_05;G00018;2010
783441;4570000557;1000783441;G4_FLOG_RF1_MEMB_05;G00018;2010
783497;4570000557;1000783497;G4_FLOG_RF1_MEMB_05;G00018;2010
783898;4570000557;1000783898;G4_FLOG_RF1_MEMB_05;G00018;2010
784464;4570000557;1000784464;G4_FLOG_RF1_MEMB_05;G00018;2010
784518;4570000557;1000784518;G4_FLOG_RF1_MEMB_05;G00018;2010
784644;4570000557;1000784644;G4_FLOG_RF1_MEMB_05;G00018;2010
784813;4570000557;1000784813;G4_FLOG_RF1_MEMB_05;G00018;2010
785305;4570000557;1000785305;G4_FLOG_RF1_MEMB_05;G00018;2010
785972;4570000557;1000785972;G4_FLOG_RF1_MEMB_05;G00018;2010
785974;4570000557;1000785974;G4_FLOG_RF1_MEMB_05;G00018;2010
786648;4570000557;1000786648;G4_FLOG_RF1_MEMB_05;G00018;2010
787255;4570000557;1000787255;G4_FLOG_RF1_MEMB_05;G00018;2010
791943;4570000557;1100791943;G4_FLOG_RF1_MEMB_05;G00018;2011
792274;4570000557;1100792274;G4_FLOG_RF1_MEMB_05;G00018;2011
792863;4570000557;1100792863;G4_FLOG_RF1_MEMB_05;G00018;2011
793028;4570000557;1100793028;G4_FLOG_RF1_MEMB_05;G00018;2011
793113;4570000557;1100793113;G4_FLOG_RF1_MEMB_05;G00018;2011
793310;4570000557;1100793310;G4_FLOG_RF1_MEMB_05;G00018;2011
793330;4570000557;1100793330;G4_FLOG_RF1_MEMB_05;G00018;2011
793377;4570000557;1100793377;G4_FLOG_RF1_MEMB_05;G00018;2011
793388;4570000557;1100793388;G4_FLOG_RF1_MEMB_05;G00018;2011
